Position,Annual Salary in Dollar,Date Hired
Information Technology Specialist,82878,2000
Banking Examiner,82878,2006
Operations Research Analyst,82878,2009
Project Manager,82878,2008
Research & Info Specialist,82878,2008
Utilization Review Specialist,82878,2006
Accountant,82878,2011
Clinical Psychologist,82878,2008
Information Technology Specialist,82878,2003
Auditor (tax),82878,2002
Administrative Support Special,82878,1998
Pharmacist,82878,2011
Civil Engineer,82878,2008
Economist,82878,2006
Revenue Officer,82878,2000
Multimedia Specialist,,2006
Environmental Protection Speci,,2001
Contract Specialist,,1983
Mortality Review Coordinator,,2003
Epidemiologist,,2001
Forensic Clinical Administrato,,1988
Clinical Administrator,82869,1987
Information Technology Specialist,82816,1971
Information Technology Specialist,82816,1990
Information Technology Specialist,82816,1975
Information Technology Specialist,82816,1974
Contract Specialist,82816,1973
Admissions Counselor,82816,1968
Assoc Professor,82687,1970
Public Affairs Specialist,82663,2001
Nurse Educ,82645,2011
Administrative Specialist,82645,2009
Assoc Dir Of Athl For Int Ops,82645,2009
Director,82645,2010
"Head, Nut, Diet & Hlth Ctr",82645,1994
Campus Ser Oper Manager,82638,1984
Clinical Nurse,82631,2009
Psychiatric Nurse,82631,1993
Investigator,82594,2003
Assoc Professor,82592,2006
Assoc Professor,82592,2010
Assoc Professor,82568,1971
Criminal Investigator,82557,2000
Criminal Investigator,82557,1997
Facilities Operations Manager,82534,1970
Proram Monitor,82500,2008
Civil Engineer,82500,1972
Assoc Professor,82500,2008
Budget Analyst,82500,2005
Teacher,82489,1987
Teacher,82489,1987
Teacher,82489,1996
Teacher,82489,1994
Teacher,82489,1992
Teacher,82489,1998
Teacher,82489,1980
Teacher,82489,1993
Teacher,82489,1987
Teacher,82489,2003
Teacher,82489,1990
Teacher,82489,1987
Teacher,82489,1987
Teacher,82489,1987
Teacher,82489,1993
Teacher,82489,1987
Teacher,82489,1999
Teacher,82489,1994
Teacher,82489,1999
Teacher,82489,1997
Teacher,82489,1987
Teacher,82489,1987
Teacher,82489,1998
Teacher,82489,1987
Teacher,82489,1993
Teacher,82489,2000
Teacher,82489,1988
Teacher,82489,2003
Teacher,82489,2003
Teacher,82489,1988
Teacher,82489,2002
Teacher,82489,1995
Teacher,82489,1995
Teacher,82489,1987
Teacher,82489,2003
Teacher,82489,1991
Teacher,82489,1987
Teacher,82489,1994
Teacher,82489,1999
Teacher,82489,2001
Teacher,82489,1986
Teacher,82489,1999
Teacher,82489,1991
Teacher,82489,1987
Teacher,82489,1993
Teacher,82489,1988
Teacher,82489,1981
Teacher,82489,1988
Teacher,82489,1989
Teacher,82489,1992
Teacher,82489,1987
Teacher,82489,1987
Teacher,82489,2003
Teacher,82489,1969
Teacher,82489,1990
Teacher,82489,1990
Teacher,82489,2003
Teacher,82489,1982
Teacher,82489,1987
Teacher,82489,1987
Program Specialist,82459,2010
Contract Specialist,82459,2005
Program Specialist,82459,1999
Fiscal Management Analyst,82459,2008
Attorney Advisor,82400,2001
Attorney Advisor,82400,2004
Special Assistant,82400,2004
Assistant Principal,82397,2011
Assistant Principal,82397,2010
Assistant Principal,82397,2008
Assistant Principal,82397,2002
Assistant Principal,82397,1998
Assistant Principal,82397,2011
Assistant Principal,82397,1992
Assistant Principal,82397,2001
Assistant Principal,82397,2011
Assistant Principal,82397,2010
Assistant Principal,82397,2009
Assistant Principal,82397,2001
Assistant Principal,82397,2010
Assistant Principal,82397,2001
Assistant Principal,82397,2000
Assistant Principal,82397,2004
Assistant Principal,82397,2008
Assistant Principal,82397,2011
Assistant Principal,82397,2011
Assistant Principal,82397,2004
Assistant Principal,82397,2011
Assistant Principal,82397,2010
Assistant Principal,82397,2010
Assistant Principal,82397,2010
Assistant Principal,82397,1999
Assistant Principal,82397,2006
Assistant Principal,82397,2009
Assistant Principal,82397,2009
Assistant Principal,82397,2010
Assistant Principal,82397,2010
Assistant Principal,82397,2009
Assistant Principal,82397,1999
Assistant Principal,82397,2007
Assistant Principal,82397,2003
Assistant Principal,82397,2001
Assistant Principal,82397,2011
Assistant Principal,82397,2003
Assistant Principal,82397,2010
Assistant Principal,82397,2011
Assistant Principal,82397,2002
Assistant Principal,82397,2011
Assistant Principal,82397,2010
Assistant Principal,82397,2011
Assistant Principal,82397,2008
Assistant Principal,82397,2011
Captain,82393,2000
Captain,82393,2000
Sanitarian Qmrp,82289,2005
Auditor (tax),82286,1992
Compliance Analyst,82286,2009
Interstate Compact,82286,1994
Education Resource Specialist,82286,1977
Social Worker,82286,1999
Data Assessment Specialist,82286,1992
Social Worker,82286,1995
Social Worker,82286,1993
Engineering Technician,82286,1983
Appraiser,82286,2001
Social Worker,82286,1995
Investigator,82286,1989
Paralegal Specialist,82286,1991
Real Property Program Speciali,82286,1987
Quality Improvement Specialist,82286,2005
Equal Opportunity Specialist,82286,1986
Paralegal Specialist,82286,1998
Social Worker,82286,1992
Invest Fraud,82286,1979
Social Worker,82286,1989
Social Worker,82286,1986
Social Worker,82286,2000
Administrative Review Special,82286,1998
Program Evaluation Specialist,82286,1994
Social Worker,82286,1997
Social Worker,82286,2004
Social Worker,82286,1997
Social Worker,82286,1992
Public Affairs Specialist,82286,1977
Child Fatality Review,82286,1993
Icpc Specialist,82286,1995
Resource Development Specialist,82286,1970
Information Technology Specialist,82286,1976
Social Worker,82286,1992
Investigator,82286,1984
Firearms Identification Specialist,82286,1995
Loan Spec Realty,82286,1987
Computer Specialist,82286,1989
Fingerprint Specialist,82286,1994
Information Technology Specialist,82286,1999
Firearms Identification Specialist,82286,1994
Appraiser,82286,2009
Computer Specialist,82286,1985
Electrical Engineer,82286,1996
Human Resources Specialist,82286,2000
Program Analyst,82286,2002
Gen Engineer Mechanical,82286,1999
Contract Specialist,82286,1975
Management Analyst,82286,1999
Patron Trainer Coor,82286,1988
Information Technology Specialist,82286,1975
Investigator,82286,1980
Electrical Engineer,82286,2000
Social Worker,82286,1983
Equal Opportunity Specialist,82286,1985
Fingerprint Specialist,82286,1994
Program Analyst,82286,1998
Program Specialist,82286,2001
Engineering Technician,82286,2004
Transportation Engineering Tec,82286,1981
Environmental Engineer,82286,2002
Compliance Specialist,82286,1976
Public Health Analyst,82286,1986
Engineering Technician,82286,1981
Engineering Technician,82286,1969
Contract Specialist,82286,1981
Social Worker,82286,1974
Public Health Advisor,82286,1986
Epidemiologist,82286,2002
Engineering Technician,82286,1971
Social Worker,82256,1996
"Director, Financial Aid",82146,2007
Assistant Director,82146,1999
"Director, Trio Programs",82146,1975
Vocational Dev Specialist,82133,1969
Teacher,82130,2005
Teacher,82130,2008
Teacher,82130,2006
Instructional Coach,82130,2010
"Psychologist,clinical",82130,2000
Teacher,82130,2009
Instructional Coach,82130,2009
Teacher,82130,2011
Teacher,82130,2008
Teacher,82130,2001
Teacher,82130,2010
"Psychologist,school",82130,2010
Teacher,82130,2008
Teacher,82130,2009
Teacher,82130,2001
Teacher,82130,2010
Teacher,82130,2010
Teacher,82130,2008
Social Worker,82130,2000
Teacher,82130,2001
Teacher,82130,2009
Executive Assistant,82091,2008
Accounts Payable Supv,82091,1990
Accountant,82091,2000
Budget Administration Analyst,82091,2007
Accountant,82091,1997
Accountant,82091,2005
Budget Administration Analyst,82091,2010
Accountant,82091,2009
Revenue Officer,82091,2005
Budget Analyst,82091,2000
Auditor,82091,2008
Executive Assistant,82091,2005
Revenue Collection Manager,82091,1984
Budget Analyst,82091,2002
Revenue Officer,82091,2000
Supervisor Revenue Officer,82091,1976
Auditor,82091,2005
Accountant,82091,2003
Accountant,82091,2003
Grants Analyst,82091,2001
Capital Budget Administration,82091,1999
Fire Arson Investigator Armed,82090,1991
Fire Arson Investigator Armed,82090,1988
Social Worker,82074,2007
Workers Compensation Recipient,82056,1992
Building Manager,82010,2008
Counselor,82001,1997
Counselor,82001,2000
Permit Ctr Oper Supervisor,82000,1979
Analyst,82000,2009
Homeless Services Coordinator,82000,2010
Nurse Consultant,81995,2009
Assoc Professor,81912,1970
Workers Compensation Recipient,81848,1977
Director Of Consumer Affairs,81750,2008
Bomb Squad Tech,81743,1990
Scuba Diver,81743,1990
Officer Pilot,81743,1990
Bomb Squad Tech,81743,1990
Scuba Diver,81743,1987
Bomb Squad Tech,81743,1985
Scuba Diver,81743,1990
Bomb Technician / Dog Handler,81743,1989
Bomb Squad Tech,81743,1989
Bomb Squad Tech,81743,1973
Scuba Diver,81743,1986
Scuba Diver,81743,1988
Scuba Diver,81743,1982
Supervisor Support Enforcemnt,81665,1999
Mechanical Engineer,81642,2004
Contract Specialist,81642,2009
Assoc Professor,81620,2005
Lieutenant,81587,1988
Lieutenant,81587,1997
Lieutenant,81587,1997
Sanitarian,81585,1980
Correctional Officer,81581,1988
Social Svcs Program Manager,81580,1995
Social Svcs Program Manager,81580,1992
Service Coordinator,81580,2001
Trial Attorney,81563,2008
Trial Attorney,81563,2010
Trial Attorney,81563,2008
Trial Attorney,81563,2010
Trial Attorney,81563,2008
Trial Attorney,81563,2008
Attorney Advisor,81563,2010
"Coord, special Education",81541,1995
Social Worker,81464,2004
Speech Pathologist,81464,1999
"Therapist,speech&language",81464,1999
Social Worker,81464,2006
"Therapist,speech&language",81464,1999
Speech Pathologist,81464,2004
Speech Pathologist,81464,2000
"Psychologist,school",81464,2007
Psychologist,81464,1974
Speech Pathologist,81464,1999
Social Worker,81464,1999
Speech Pathologist,81464,2001
Speech Pathologist,81464,2000
Speech Pathologist,81464,1999
Social Worker,81464,2001
Social Worker,81464,1985
Social Worker,81464,1999
Speech Pathologist,81464,1999
Speech Pathologist,81464,1999
Speech Pathologist,81464,2002
Speech Pathologist,81464,1999
Social Worker,81464,1972
Speech Pathologist,81464,2000
Social Worker,81464,1999
Speech Pathologist,81464,2004
Workers Compensation Recipient,81455,2000
Counselor,81387,2008
Attorney Advisor,81345,2007
Firefighter Tech,81340,1981
Firefighter Tech,81340,1985
Firefighter Tech,81340,1979
Firefighter Tech,81340,1973
Social Worker,81311,2004
Social Worker,81311,2002
Program Analyst,81283,2007
Lieutenant,81278,1992
Lieutenant,81278,1996
Lieutenant,81278,1992
Lieutenant,81278,1990
"Paramed Ff/ems Supv, Trans (li",81278,1991
Lieutenant,81278,1992
Lieutenant,81278,1992
Lieutenant,81278,1992
Lieutenant,81278,1996
Attorney Advisor,81250,2010
Executive Assistant,81242,2002
Human Resources Spec (comp),81242,2007
Telecommunications Equip Opera,81242,1985
Information Technology Specialist,81242,2002
Administrative Assistant,81242,1996
Project Officer,81242,1997
Demographic Specialist,81242,2008
Landscape Architect,81242,2008
Legislative Research Specialist,81242,1987
Information Technology Specialist,81242,2004
Program Analyst,81242,1975
Hr Spec (hr Dev),81242,2006
Program Analyst,81242,1993
Criminal Investigator,81242,2003
Human Resources Spec Class,81242,2008
Program Analyst,81242,2002
Ada Architect,81242,2008
Transportation Management Specialist,81242,1987
Transportation Planner (tdm,81242,2006
Public Affairs Specialist,81242,2004
Writer-editor (webmaster),81242,2003
Training Specialist,81242,2002
Information Technology Specialist,81242,2003
Lead Forester (urban),81242,2004
Management & Program Analyst,81242,2003
Development Review Specialist,81242,2006
Information Technology Specialist,81242,2004
Auditor,81242,2009
Program Analyst,81242,2001
Management Liaison Specialist,81242,2008
Information Technology Specialist,81242,2007
Policy Analyst,81242,1987
Information Technology Specialist,81242,1980
Special Assistant,81242,2005
Program Analyst,81242,2005
Decision Support Analyst,81242,2003
Hlth Systems Specialist,81242,1986
Program Analyst,81242,2007
Information Technology Specialist,81242,2004
Project Coordinator,81242,2010
Incident Review Specialist,81242,2002
Accountant,81242,2003
Policy Analyst,81242,1979
Program Analyst,81242,1983
Program Analyst,81242,2009
Care Manager,81242,2006
Crisis Coordinator,81242,2006
Executive Assistant,81242,1996
Project Coor,81242,2003
Mental Health Curriculum Dev,81242,2009
Writer Editor,81242,2004
Legislative Assistant,81242,1999
Resource Allocation Analyst,81242,2008
Zoning Specialist,81242,2005
Zoning Specialist,81242,2005
Human Resources Spec Class,81242,2007
Special Assistant,81242,1982
Telecomms Specialist,81242,2008
Executive Assistant,81242,2000
Program Analyst,81242,2006
Program Analyst,81242,1988
Facilities And Space Mgt Specialist,81242,1981
Program Analyst,81242,2004
Administrative Officer,81242,2002
"Director, Dc Govt Opns",81242,1990
Project Manager,81242,2003
Engineer,81242,2001
Executive Assistant,81242,2000
Coor Juvenile & Spec Populat,81242,1996
Program Analyst,81242,2003
Executive Assistant,81242,2007
Management Liaison Specialist,81242,1995
Executive Director,81242,2001
Program Analyst,81242,1986
Project Manager,81242,2003
Legislative Affairs Specialist,81242,2007
Administrative Law Judge,81242,1998
Compensation Claims Specialist,81242,2006
Project Manager,81242,2008
Program Analyst,81242,2005
Program Analyst,81242,2002
Community Dev Resource Specialist,81242,1993
Program Specialist,81242,2005
Information Technology Specialist,81242,2008
Special Assistant,81242,1983
Special Assistant,81242,2002
Lead Workers' Comp Claims Exam,81242,1996
Executive Assistant,81242,2005
Management Analyst,81242,2010
Transportation Planner,81242,2005
Compliance Specialist,81242,2009
Trans Management Specialist,81242,2003
Executive Assistant,81242,2000
Homeland Security Coord,81242,2005
Risk Management Specialist,81242,2004
Risk Manager,81242,2003
Information Technology Specialist,81242,2004
Management Analyst,81242,1986
Resource Allocation Analyst,81242,2009
Management Liaison Specialist,81242,2004
Management Liaison Specialist,81242,1977
Priv & Home Sch Specialist,81242,2004
Equal Opportunity Specialist,81242,1978
Program Analyst,81242,2000
Information Technology Specialist,81242,2008
Information Technology Specialist,81242,2005
Facility Planner,81242,1986
Management Liaison Specialist,81242,2004
Policy Analyst,81242,1998
Information Technology Specialist,81242,1990
Management Liaison Specialist,81242,1990
Health System Planner,81242,2005
Management Liaison Specialist,81242,1978
Customer Service Representative,81242,1997
Management Liaison Specialist,81242,1972
Program Analyst,81242,2011
Cashier Operations Manager,81135,2009
Special Pay Officer,81135,1997
Unclaimed Property Tech,81135,2008
Accountant,81135,2005
Information Technology Specialist,81135,2005
Assoc Professor,81119,2004
Instructional Specialist,81040,2009
Project Manager,81040,2006
Instructional Specialist,81040,2011
Instructional Specialist,81040,2010
Instructional Specialist,81040,2011
Instructional Specialist,81040,2011
Attorney Advisor,81039,2010
Attorney Advisor,81039,2009
Visiting Associate Professor,81000,2010
Investigator,81000,2004
Investigator,81000,2001
"Coord, special Education",80981,2003
Dean Of Students (et),80981,2002
Coordinator (et),80981,2009
Spec Education Specialist,80981,1998
Coordinator (et),80981,1997
"Coord,academy Program",80981,2002
"Coord, special Education",80981,2003
"Coord, special Education",80981,2001
Spec Education Specialist,80981,2004
Coordinator (et),80981,2010
"Coord, special Education",80981,2000
Education Specialist,80981,2001
Coordinator (et),80981,1989
Assoc Professor,80956,1972
Claims Revenue Manager,80846,1984
Assistant Watch Commander,80846,1972
Psychiatric Nurse,80822,2008
Psychiatric Nurse,80822,2008
Nurse,80822,2009
Psychiatric Nurse,80822,2000
Psychiatric Nurse,80822,2003
Psychiatric Nurse,80822,2004
Psychiatric Nurse,80822,2005
Psychiatric Nurse,80822,2008
Nurse,80822,2010
Psychiatric Nurse,80822,2000
Nurse Consultant,80822,2008
Psychiatric Nurse,80822,2008
Correctional Officer,80811,1984
Assistant Dean,80795,2009
Fire Inspector,80728,1982
Fire Inspector,80728,1982
Fire Inspector,80728,1984
Fire Inspector,80728,1983
Workers Compensation Recipient,80696,1984
Sergeant,80632,1990
Sergeant Aide,80632,1992
Sergeant,80632,1992
Sergeant,80632,1992
Sergeant,80632,1991
Sergeant,80632,1991
Assoc Professor,80612,1983
Assoc Professor,80523,2006
Clinical Administrator,80514,1994
Public Health Anal,80500,2009
Invest,80500,1993
Paramedic Firefighter,80498,1986
Assoc Professor,80494,2004
Security Officer,80462,1985
Social Worker,80461,2006
Fingerprint Specialist,80461,1994
Independent Living,80461,1996
Social Worker,80461,2000
Social Worker,80461,2003
Support Services Specialist,80461,2007
Diligent Search Supv,80461,1991
Assistant Principal,80461,1997
Resource Development Specialist,80461,1994
General Engineer,80461,1989
Direct Maintenance/repair Mana,80461,1986
Services Management Specialist,80461,1969
Correctional Program Specialist,80461,2007
Social Worker,80461,2002
Administrative Services Specialist,80461,1986
Community Supervision Program Manager,80461,2007
Direct Maintenance/repair Mana,80461,2001
Facility Operations Specialist,80461,1987
General Engineer,80461,2003
Engineering Tech,80461,2005
Youth Development Rep,80461,1986
Mngmt And Program Analyst,80461,2005
Sergeant Aide,80446,1989
Sergeant Aide,80446,1987
Sergeant Aide,80446,1987
Sergeant,80446,1987
Sergeant,80446,1991
Sergeant,80446,1987
Sergeant,80446,1989
Sergeant,80446,1986
Sergeant Aide,80446,1989
Sergeant,80446,1991
Sergeant,80446,2001
Sergeant,80446,1988
Sergeant,80446,1989
Sergeant Aide,80446,1990
Sergeant,80446,1987
Detective Sergeant,80405,1992
Detective Sergeant,80405,2003
Workers Compensation Recipient,80392,1994
Clinical Psychologist,80381,2008
Exemption Specialist,80381,1983
Clinical Psychologist,80381,2009
Hearing Examiner,80381,2009
Revenue Accounting Specialist,80381,1994
Contract Specialist,80381,2008
Planning Specialist,80381,2009
Clinical Psychologist,80381,2008
Clinical Psychologist,80381,2009
Clinical Psychologist,80381,2007
Contract Specialist,80381,1981
Contract Specialist,80381,2003
Clinical Psychologist,80381,2006
Appraiser,80381,2009
Contract Specialist,80381,2007
Management Analyst,80381,2005
Information Technology Specialist,80381,2009
Comb Code Comp Specialist,80381,2008
Project Manager,80381,2000
Grants Management Specialist,80381,2004
Appraiser,80381,2009
Quality Assessment Specialist,80381,1997
Clinical Psychologist,80381,2004
Civil Engineer,80381,2002
Management Analyst,80381,2005
Management Analyst,80381,1999
Information Technology Specialist,80381,2010
Grants Management Specialist,80381,2002
Epidemiologist,80381,2008
Civil Engineer,80381,2008
Public Health Advisor,80381,2003
Administrative Support Supervi,80376,2006
Program Manager,80375,2008
Professor,80365,1990
Professor,80365,1982
Professor,80365,2000
Protective Svcs Ofr,80343,2009
Program Manager,80343,1996
Psychiatric Nurse,80343,2002
Public Affairs Specialist,80343,1990
Correctional Treatment Sp,80343,2008
Correctional Program Specialist,80343,2008
Project Specialist,80300,1979
Project Specialist,80300,1987
Assoc Athl Dir Of Communicati,80300,2011
Special Assistant,80300,2008
Program Specialist,80298,2005
Program Coordinator,80298,2009
Program Specialist,80298,2008
Program Specialist,80298,2010
Program Specialist,80298,2007
Contract Specialist,80297,1983
Detective,80246,1990
Master Patrol Officer,80246,1990
Detective,80246,1990
Detective,80246,1989
Detective,80246,1980
Master Patrol Officer,80246,1986
Assoc Professor,80245,2002
Firearms Tech,80243,1989
Dog Handler,80243,1989
Detective,80243,1990
Crime Scene Srch Ofr,80243,1990
Detective,80243,1986
Detective,80243,1990
Detective,80243,1988
Desk Sergeant,80243,1986
Crime Scene Srch Ofr,80243,1988
Detective,80243,1989
Master Patrol Officer,80243,1989
Detective,80243,1983
Detective,80243,1988
Master Patrol Officer,80243,1990
Detective,80243,1989
Crime Scene Srch Ofr,80243,1979
Officer Dog Handler,80243,1989
Detective,80243,1986
Officer Ert Personnel,80243,1983
Master Patrol Officer,80243,1990
Crime Scene Srch Ofr,80243,1988
Detective,80243,1988
Detective,80243,1988
Eod Dog Handler,80243,1990
Detective,80243,1987
Detective,80243,1987
Officer Ert Personnel,80243,1989
Detective,80243,1988
Master Patrol Officer,80243,1989
Detective,80243,1990
Detective,80243,1988
Detective,80243,1985
Master Patrol Officer,80243,1986
Detective,80243,1990
Desk Sergeant,80243,1988
Master Patrol Officer,80243,1986
Detective,80243,1989
Crime Scene Srch Ofr,80243,1985
Crime Scene Srch Ofr,80243,1990
Officer,80243,1985
Dog Handler,80243,1987
Officer,80243,1988
Detective,80243,1987
Detective,80243,1990
Detective,80243,1988
Detective,80243,1988
Master Patrol Officer,80243,1975
Detective,80243,1982
Master Patrol Officer,80243,1988
Executive Protection Officer,80243,1990
Detective,80243,1987
Crime Scene Srch Ofr,80243,1988
Detective,80243,1990
Crime Scene Srch Ofr,80243,1989
Master Patrol Officer,80243,1984
Officer,80243,1989
Detective,80243,1989
Detective,80243,1989
Master Patrol Officer,80243,1990
Detective,80243,1990
Detective,80243,1987
Detective,80243,1989
Detective,80243,1983
Detective,80243,1990
Officer Ert Personnel,80243,1988
Eod Dog Handler,80243,1990
Crime Scene Srch Ofr,80243,1989
Detective,80243,1987
Detective,80243,1990
Detective,80243,1990
Dog Handler,80243,1991
Detective,80243,1988
Detective,80243,1987
Detective,80243,1983
Dog Handler,80243,1990
Officer Ert Personnel,80243,1990
Detective,80243,1990
Detective,80243,1989
Crime Scene Srch Ofr,80243,1988
Firearms Examiner,80243,1990
Detective,80243,1990
Detective,80243,1984
Master Patrol Officer,80243,1989
Detective,80243,1985
Dog Handler,80243,1990
Master Patrol Officer,80243,1988
Detective,80243,1985
Desk Sergeant,80243,1990
Dog Handler,80243,1990
Dog Handler,80243,1990
Detective,80243,1987
Dog Handler,80243,1990
Master Patrol Officer,80243,1990
Crime Scene Srch Ofr,80243,1990
Detective,80243,1990
Crime Scene Srch Ofr,80243,1990
Crime Scene Srch Ofr,80243,1987
Officer Ert Personnel,80243,1987
Crime Scene Srch Ofr,80243,1988
Master Patrol Officer,80243,1990
Dog Handler,80243,1987
Detective,80243,1989
Crime Scene Srch Ofr,80243,1983
Detective,80243,1990
Detective,80243,1989
Crime Scene Srch Ofr,80243,1990
Detective,80243,1986
Detective,80243,1990
Eod Dog Handler,80243,1990
Detective,80243,1983
Dog Handler,80243,1985
Crime Scene Srch Ofr,80243,1990
Crime Scene Srch Ofr,80243,1989
Detective,80243,1988
Detective,80243,1989
Detective,80243,1990
Officer Ert Personnel,80243,1987
Detective,80243,1990
Detective,80243,1989
Crime Scene Srch Ofr,80243,1988
Detective,80243,1988
Detective,80243,1985
Master Patrol Officer,80243,1985
Master Patrol Officer,80243,1988
Detective,80243,1990
Master Patrol Officer,80243,1989
Master Patrol Officer,80243,1987
Crime Scene Srch Ofr,80243,1989
Detective,80243,1990
Detective,80243,1986
Master Patrol Officer,80243,1990
Master Patrol Officer,80243,1987
Detective,80243,1970
Detective,80243,1987
Dog Handler,80243,1990
Detective,80243,1981
Officer,80243,1989
Detective,80243,1988
Dog Handler,80243,1990
Detective,80243,1990
Fingerprint Specialist,80243,1983
Master Patrol Officer,80243,1990
Detective,80243,1990
Detective,80243,1990
Detective,80243,1988
Officer,80243,1990
Dog Handler,80243,1989
Detective,80243,1989
Detective,80243,1988
Crime Scene Srch Ofr,80243,1988
Master Patrol Officer,80243,1967
Crime Scene Srch Ofr,80243,1990
Detective,80243,1990
Crime Scene Srch Ofr,80243,1984
Crime Scene Srch Ofr,80243,1986
Officer Ert Personnel,80243,1987
Detective,80243,1988
Officer Ert Personnel,80243,1986
Detective,80243,1990
Detective,80243,2003
Detective,80243,1984
Detective,80243,1986
Detective,80243,1990
Detective,80243,1987
Detective,80243,1986
Detective,80243,1988
Officer,80243,1990
Detective,80243,1990
Detective,80243,1987
Detective,80243,1990
Desk Sergeant,80243,1984
Officer,80243,1990
Officer,80243,1989
Officer,80243,1987
Detective,80243,1990
Master Patrol Officer,80243,1971
Detective,80243,1981
Detective,80243,1986
Detective,80243,1987
Detective,80243,1978
Crime Scene Srch Ofr,80243,1990
Master Patrol Officer,80243,1989
Master Patrol Officer,80243,1969
Detective,80243,1989
Detective,80243,1986
Detective,80243,1990
Dog Handler,80243,1989
Crime Scene Srch Ofr,80243,1988
Detective,80243,1990
Detective,80243,1990
Crime Scene Srch Ofr,80243,1989
Detective,80243,1991
Officer Ert Personnel,80243,1985
Detective,80243,1988
Detective,80243,1990
Detective,80243,1985
Master Patrol Officer,80243,1988
Detective,80243,1989
Detective,80243,1983
Officer Ert Personnel,80243,1990
Detective,80243,1981
Detective,80243,1991
Detective,80243,1988
Detective,80243,1986
Crime Scene Srch Ofr,80243,1986
Detective,80243,1989
Crime Scene Srch Ofr,80243,1982
Master Patrol Officer,80243,1981
Crime Scene Srch Ofr,80243,1990
Desk Sergeant,80243,1988
Officer Ert Personnel,80243,1990
Officer,80243,1986
Dog Handler,80243,1989
Crime Scene Srch Ofr,80243,1985
Crime Scene Srch Ofr,80243,1990
Detective,80243,1990
Crime Scene Srch Ofr,80243,1989
Detective,80243,1989
Detective,80243,1988
Crime Scene Srch Ofr,80243,1989
Detective,80243,1985
Detective,80243,1986
Detective,80243,1988
Detective,80243,1988
Detective,80243,1990
Officer Ert Personnel,80243,1985
Master Patrol Officer,80243,1990
Officer,80243,1990
Detective,80243,1986
Crime Scene Srch Ofr,80243,1990
Master Patrol Officer,80243,1990
Crime Scene Srch Ofr,80243,1990
Detective,80243,1985
Detective,80243,1990
Crime Scene Srch Ofr,80243,1974
Dog Handler,80243,1987
Detective,80243,1990
Detective,80243,1990
Desk Sergeant,80243,1988
Executive Protection Officer,80243,1990
Detective,80243,1984
Detective,80243,1991
Executive Protection Officer,80243,1990
Crime Scene Srch Ofr,80243,1989
Detective,80243,1990
Detective,80243,1985
Detective,80243,1988
Detective,80243,1981
Crime Scene Srch Ofr,80243,1989
Detective,80243,1985
Master Patrol Officer,80243,1990
Crime Scene Srch Ofr,80243,1988
Crime Scene Srch Ofr,80243,1988
Detective,80243,1990
Detective,80243,1990
Invest,80243,1989
Dog Handler,80243,1989
Detective,80243,1986
Officer Ert Personnel,80243,1987
Officer,80243,1987
Dog Handler,80243,1984
Detective,80243,1989
Master Patrol Officer,80243,1983
Detective,80243,1991
Detective,80243,1990
Master Patrol Officer,80243,1984
Master Patrol Officer,80243,1982
Master Patrol Officer,80243,1990
Detective,80243,1987
Crime Scene Srch Ofr,80243,1990
Master Patrol Officer,80243,1988
Crime Scene Srch Ofr,80243,1988
Crime Scene Srch Ofr,80243,1990
Master Patrol Officer,80243,1983
Detective,80243,1990
Crime Scene Srch Ofr,80243,1990
Detective,80243,1990
Crime Scene Srch Ofr,80243,1990
Detective,80243,1984
Detective,80243,1986
Detective,80243,1989
Crime Scene Srch Ofr,80243,1990
Detective,80243,1985
Detective,80243,1989
Crime Scene Srch Ofr,80243,1990
Detective,80243,1989
Dog Handler,80243,1988
Detective,80243,1982
Detective,80243,1990
Detective,80243,1987
Detective,80243,1988
Detective,80243,1988
Crime Scene Srch Ofr,80243,1987
Crime Scene Srch Ofr,80243,1990
Desk Sergeant,80243,1987
Detective,80243,1988
Detective,80243,1988
Executive Protection Officer,80243,1988
Crime Scene Srch Ofr,80243,1990
Dog Handler,80243,1989
Dog Handler,80243,1988
Detective,80243,1982
Detective,80243,1988
Master Patrol Officer,80243,1984
Officer Ert Personnel,80243,1986
Dog Handler,80243,1988
Master Patrol Officer,80243,1990
Detective,80243,1986
Master Patrol Officer,80243,1987
Officer Ert Personnel,80243,1981
Officer Ert Personnel,80243,1985
Crime Scene Srch Ofr,80243,1988
Master Patrol Officer,80243,1988
Detective,80243,1988
Detective,80243,1987
Crime Scene Srch Ofr,80243,1987
Detective,80243,1985
Detective,80243,1989
Executive Protection Officer,80243,1988
Detective,80243,1989
Detective,80243,1986
Detective,80243,2001
Master Patrol Officer,80243,1988
Detective,80243,1988
Detective,80243,1983
Detective,80243,1980
Officer,80243,1985
Dog Handler,80243,1986
Crime Scene Srch Ofr,80243,1990
Crime Scene Srch Ofr,80243,1989
Crime Scene Srch Ofr,80243,1986
Master Patrol Officer,80243,1986
Master Patrol Officer,80243,1985
Master Patrol Officer,80243,1987
Detective,80243,1988
Detective,80243,1989
Dog Handler,80243,1990
Desk Sergeant,80243,1990
Crime Scene Srch Ofr,80243,1986
Detective,80243,1990
Detective,80243,1989
Detective,80243,1990
Detective,80243,1990
Detective,80243,1989
Detective,80243,1988
Master Patrol Officer,80243,1988
Detective,80243,1989
Detective,80243,1990
Detective,80243,1989
Director (eg-15),80238,2007
Sanitarian,80190,2006
Environmental Engineer,80188,2002
